failure_type,symbol,analysis_date,grade,final_score,predicted_return,actual_return,factor_scores,market_state,failure_reason
extreme_error,900110,2025-08-01,매도 고려,29.4,3.4117,1882.5,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 26.2, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected 3.4%, actual 1882.5%"
extreme_error,900110,2025-08-05,매도 고려,29.4,3.4117,1682.2785,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 26.4, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected 3.4%, actual 1682.3%"
extreme_error,900110,2025-08-04,매도 고려,29.5,3.4117,1660.0,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 27.3, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected 3.4%, actual 1660.0%"
extreme_error,900110,2025-08-07,매도,26.5,-28.7866,1540.0,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 27.6, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected -28.8%, actual 1540.0%"
extreme_error,084670,2025-09-18,매도 고려,33.4,3.4117,1535.2509,"{'value_score': 48.5, 'quality_score': 48.9, 'momentum_score': 25.9, 'growth_score': 66.1}",KOSPI중형-확장과열-모멘텀형,"Prediction error: expected 3.4%, actual 1535.3%"
extreme_error,900110,2025-08-06,매도 고려,29.1,3.4117,1510.8434,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 33.9, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected 3.4%, actual 1510.8%"
extreme_error,900110,2025-08-08,매도 고려,25.6,3.4117,1486.4198,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 33.0, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected 3.4%, actual 1486.4%"
extreme_error,900110,2025-08-11,매도 고려,24.7,3.4117,1419.7531,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 30.4, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected 3.4%, actual 1419.8%"
extreme_error,900110,2025-08-13,매도,24.6,-28.7866,1357.8313,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 29.8, 'growth_score': 24.0}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected -28.8%, actual 1357.8%"
extreme_error,900110,2025-08-18,매도,28.4,-28.7866,1355.0,"{'value_score': 39.5, 'quality_score': 48.0, 'momentum_score': 29.5, 'growth_score': 24.9}",KOSDAQ소형-핫섹터-초고위험형,"Prediction error: expected -28.8%, actual 1355.0%"
