market_state,period_days,factor_ics,grade_performance,optimal_weights,sample_count
KOSPI대형-둔화공포-방어형,3,"{'value_score': np.float64(0.047798), 'quality_score': np.float64(0.018532), 'momentum_score': np.float64(-0.003954), 'growth_score': np.float64(0.076548), 'final_score': np.float64(0.068431)}","{'매수': np.float64(0.385), '중립': np.float64(0.0674), '매도': np.float64(-0.27)}","{'value_score': np.float64(0.222), 'quality_score': np.float64(0.0861), 'momentum_score': np.float64(0.0184), 'growth_score': np.float64(0.3556), 'final_score': np.float64(0.3179)}",94001
KOSPI대형-둔화공포-방어형,30,"{'value_score': np.float64(0.102877), 'quality_score': np.float64(0.014257), 'momentum_score': np.float64(-0.031765), 'growth_score': np.float64(0.221516), 'final_score': np.float64(0.174251)}","{'매수': np.float64(2.3491), '중립': np.float64(0.1295), '매도': np.float64(-2.0531)}","{'value_score': np.float64(0.1889), 'quality_score': np.float64(0.0262), 'momentum_score': np.float64(0.0583), 'growth_score': np.float64(0.4067), 'final_score': np.float64(0.3199)}",94001
KOSPI대형-둔화공포-방어형,60,"{'value_score': np.float64(0.161284), 'quality_score': np.float64(0.009988), 'momentum_score': np.float64(0.00737), 'growth_score': np.float64(0.364149), 'final_score': np.float64(0.27535)}","{'매수': np.float64(5.4951), '중립': np.float64(0.3606), '매도': np.float64(-5.5518)}","{'value_score': np.float64(0.1971), 'quality_score': np.float64(0.0122), 'momentum_score': np.float64(0.009), 'growth_score': np.float64(0.4451), 'final_score': np.float64(0.3366)}",94001
KOSPI대형-둔화공포-방어형,90,"{'value_score': np.float64(0.214511), 'quality_score': np.float64(0.021034), 'momentum_score': np.float64(0.134788), 'growth_score': np.float64(0.474562), 'final_score': np.float64(0.347285)}","{'매수': np.float64(11.1902), '중립': np.float64(0.2634), '매도': np.float64(-12.1054)}","{'value_score': np.float64(0.1799), 'quality_score': np.float64(0.0176), 'momentum_score': np.float64(0.1131), 'growth_score': np.float64(0.3981), 'final_score': np.float64(0.2913)}",94001
KOSPI중형-확장과열-모멘텀형,3,"{'value_score': np.float64(0.039333), 'quality_score': np.float64(0.001561), 'momentum_score': np.float64(0.00183), 'growth_score': np.float64(0.033842), 'final_score': np.float64(0.032496)}","{'매수': np.float64(1.9996), '중립': np.float64(0.4658), '매도': np.float64(-1.0545)}","{'value_score': np.float64(0.3606), 'quality_score': np.float64(0.0143), 'momentum_score': np.float64(0.0168), 'growth_score': np.float64(0.3103), 'final_score': np.float64(0.298)}",4734
KOSPI중형-확장과열-모멘텀형,30,"{'value_score': np.float64(0.062117), 'quality_score': np.float64(-0.010446), 'momentum_score': np.float64(-0.084531), 'growth_score': np.float64(0.168472), 'final_score': np.float64(0.118245)}","{'매수': np.float64(10.2791), '중립': np.float64(6.1156), '매도': np.float64(-1.0363)}","{'value_score': np.float64(0.14), 'quality_score': np.float64(0.0235), 'momentum_score': np.float64(0.1905), 'growth_score': np.float64(0.3796), 'final_score': np.float64(0.2664)}",4734
KOSPI중형-확장과열-모멘텀형,60,"{'value_score': np.float64(0.019087), 'quality_score': np.float64(-0.07884), 'momentum_score': np.float64(-0.078218), 'growth_score': np.float64(0.304042), 'final_score': np.float64(0.149705)}","{'매수': np.float64(19.1062), '중립': np.float64(12.8651), '매도': np.float64(1.235)}","{'value_score': np.float64(0.0303), 'quality_score': np.float64(0.1252), 'momentum_score': np.float64(0.1242), 'growth_score': np.float64(0.4827), 'final_score': np.float64(0.2377)}",4734
KOSPI중형-확장과열-모멘텀형,90,"{'value_score': np.float64(0.022262), 'quality_score': np.float64(-0.035461), 'momentum_score': np.float64(-0.012304), 'growth_score': np.float64(0.460766), 'final_score': np.float64(0.184142)}","{'매수': np.float64(39.9622), '중립': np.float64(30.4689), '매도': np.float64(114.1038)}","{'value_score': np.float64(0.0311), 'quality_score': np.float64(0.0496), 'momentum_score': np.float64(0.0172), 'growth_score': np.float64(0.6445), 'final_score': np.float64(0.2576)}",4734
KOSPI중형-둔화공포-혼조형,3,"{'value_score': np.float64(0.047602), 'quality_score': np.float64(0.013408), 'momentum_score': np.float64(-0.000465), 'growth_score': np.float64(0.089137), 'final_score': np.float64(0.049848)}","{'매수': np.float64(0.3152), '중립': np.float64(0.3573), '매도': np.float64(0.0663)}","{'value_score': np.float64(0.2375), 'quality_score': np.float64(0.0669), 'momentum_score': np.float64(0.0023), 'growth_score': np.float64(0.4447), 'final_score': np.float64(0.2487)}",9107
KOSPI중형-둔화공포-혼조형,30,"{'value_score': np.float64(0.128854), 'quality_score': np.float64(0.013821), 'momentum_score': np.float64(0.020564), 'growth_score': np.float64(0.285876), 'final_score': np.float64(0.18883)}","{'매수': np.float64(11.2859), '중립': np.float64(0.5793), '매도': np.float64(-0.6738)}","{'value_score': np.float64(0.202), 'quality_score': np.float64(0.0217), 'momentum_score': np.float64(0.0322), 'growth_score': np.float64(0.4481), 'final_score': np.float64(0.296)}",9107
KOSPI중형-둔화공포-혼조형,60,"{'value_score': np.float64(0.080068), 'quality_score': np.float64(-0.022362), 'momentum_score': np.float64(0.030246), 'growth_score': np.float64(0.448273), 'final_score': np.float64(0.271564)}","{'매수': np.float64(12.4093), '중립': np.float64(2.759), '매도': np.float64(-1.6218)}","{'value_score': np.float64(0.0939), 'quality_score': np.float64(0.0262), 'momentum_score': np.float64(0.0355), 'growth_score': np.float64(0.5258), 'final_score': np.float64(0.3185)}",9107
KOSPI중형-둔화공포-혼조형,90,"{'value_score': np.float64(0.049633), 'quality_score': np.float64(-0.094206), 'momentum_score': np.float64(0.057244), 'growth_score': np.float64(0.574932), 'final_score': np.float64(0.332322)}","{'매수': np.float64(18.356), '중립': np.float64(2.6213), '매도': np.float64(-6.2322)}","{'value_score': np.float64(0.0448), 'quality_score': np.float64(0.085), 'momentum_score': np.float64(0.0516), 'growth_score': np.float64(0.5187), 'final_score': np.float64(0.2998)}",9107
