portfolio_type,period_days,total_return,sharpe_ratio,sortino_ratio,mdd,mdd_recovery_days,calmar_ratio,win_rate,pl_ratio,profit_factor,var_95,cvar_95,alpha,beta,information_ratio,sample_count
long,3,0.7448,1.0373,1.8856,-100.0,0,0.6256,0.4811,1.4212,1.5005,-6.8831,-10.7366,0.7448,1.0,1.0373,13018
short,3,0.3118,0.6367,0.6143,-2.846222591814755e+24,0,0.0,0.5441,0.9514,1.2836,-5.1451,-10.2739,0.3118,1.0,0.6367,16963
long_short,3,0.5195,1.1961,1.6999,-7.221775472651177e+22,0,0.0,0.5489,1.2606,1.5421,-4.3289,-7.2819,0.5195,1.0,1.1961,13018
long,30,6.5896,0.6881,2.5484,-100.0,0,0.5535,0.5563,2.1918,2.8008,-17.0119,-23.64,6.5896,1.0,0.6881,11664
short,30,1.7428,0.2623,0.179,-29708425635828.992,0,0.0,0.641,0.8513,1.5606,-13.9396,-36.2041,1.7428,1.0,0.2623,14645
long_short,30,4.201,0.7105,0.8391,-8657198601051.171,0,0.0,0.627,1.6816,2.8271,-10.6104,-20.434,4.201,1.0,0.7105,11664
long,60,11.4302,0.6522,2.5364,-99.9514,0,0.4803,0.577,2.4985,3.4594,-21.6284,-29.5768,11.4302,1.0,0.6522,11031
short,60,3.0807,0.139,0.0741,-3.6797294042085795e+26,0,0.0,0.7436,0.537,1.602,-16.537,-81.8642,3.0807,1.0,0.139,9909
long_short,60,7.3697,0.5227,0.3968,-1.316536994737496e+108,1,0.0,0.6915,1.4071,3.1549,-12.991,-43.5181,7.3697,1.0,0.5227,9909
long,90,18.1774,0.6475,2.8587,-97.9059,0,0.5199,0.6161,2.9786,4.8487,-23.6762,-32.8983,18.1774,1.0,0.6475,9145
short,90,9.9551,0.3366,0.1244,-6.19195062254867e+80,0,0.0,0.8818,0.4623,3.4818,-9.7314,-74.7364,9.9551,1.0,0.3366,4638
long_short,90,14.6028,0.7261,0.4529,-2.7007322407076315e+20,1,0.0,0.8258,1.4419,6.8347,-8.9653,-40.9763,14.6028,1.0,0.7261,4638
