scenario_type,period_days,brier_score,calibration_error,resolution,realization_rate,predicted_avg_prob,actual_occurrence_rate,sample_count
bullish,3,0.084328,0.21659,0.068703,0.0742,0.1729,0.0742,274478
sideways,3,0.179946,0.312965,0.116941,0.8648,0.6193,0.8648,274478
bearish,3,0.084972,0.285395,0.057294,0.061,0.2078,0.061,274478
bullish,30,0.178112,0.048947,0.18157,0.2384,0.1742,0.2384,239434
sideways,30,0.262806,0.117289,0.249256,0.4727,0.6177,0.4727,239434
bearish,30,0.207966,0.064817,0.205425,0.2889,0.2081,0.2889,239434
bullish,60,0.195205,0.103158,0.199818,0.276,0.1758,0.276,185835
sideways,60,0.289691,0.235197,0.226647,0.3472,0.6165,0.3472,185835
bearish,60,0.251937,0.197514,0.234829,0.3768,0.2077,0.3768,185835
bullish,90,0.199772,0.1209,0.205931,0.2901,0.1761,0.2901,129970
sideways,90,0.308412,0.281919,0.200272,0.277,0.6156,0.277,129970
bearish,90,0.278974,0.271698,0.245501,0.4329,0.2083,0.4329,129970
