period_days,group,exceedance_rate,sample_count
3,ALL,0.12284894502956717,285790
3,EXCLUDED_ONLY,0.13721646870672674,102546
3,FILTERED,0.11480867040667089,183244
30,ALL,0.3855416881060361,250707
30,EXCLUDED_ONLY,0.4125261607627316,90307
30,FILTERED,0.3703491271820449,160400
60,ALL,0.4562525709584533,194480
60,EXCLUDED_ONLY,0.4855428182282504,70484
60,FILTERED,0.43960289041581985,123996
90,ALL,0.4938182461207468,135722
90,EXCLUDED_ONLY,0.5251616357122266,48566
90,FILTERED,0.47635274679884343,87156
