미국 주식 관련 데이터,,
테이블명,us_intraday,
컬럼명,데이터 타입,설명
date,TIMESTAMP,일자시간
symbol,VARCHAR(10),종목코드
open,"DECIMAL(21,2)",시가
high,"DECIMAL(21,2)",고가
low,"DECIMAL(21,2)",저가
close,"DECIMAL(21,2)",종가
volume,BIGINT,거래량
updated_at,TIMESTAMP,
,,
테이블명,us_daily,
컬럼명,데이터 타입,설명
date,DATE,일자시간
symbol,VARCHAR(10),종목코드
open,"DECIMAL(21,2)",시가
high,"DECIMAL(21,2)",고가
low,"DECIMAL(21,2)",저가
close,"DECIMAL(21,2)",종가
volume,BIGINT,거래량
change_amount,"DECIMAL(21,2)",대비
change_rate,"DECIMAL(6,2)",등락률
per,"DECIMAL(6,2)",per
pbr,"DECIMAL(21,2)",pbr
updated_at,TIMESTAMP,
,,
테이블명,us_daily_etf,
컬럼명,데이터 타입,설명
date,DATE,일자시간
symbol,VARCHAR(10),종목코드
open,"DECIMAL(12,4)",시가
high,"DECIMAL(12,4)",고가
low,"DECIMAL(12,4)",저가
close,"DECIMAL(12,4)",종가
volume,BIGINT,거래량
created_at,TIMESTAMP,
updated_at,TIMESTAMP,
,,
테이블명,us_weekly,
컬럼명,데이터 타입,설명
date,DATE,일자시간
symbol,VARCHAR(10),종목코드
open,"DECIMAL(21,2)",시가
high,"DECIMAL(21,2)",고가
low,"DECIMAL(21,2)",저가
close,"DECIMAL(21,2)",종가
volume,BIGINT,거래량
updated_at,TIMESTAMP,
,,
테이블명,us_monthly,
컬럼명,데이터 타입,설명
date,DATE,일자시간
symbol,VARCHAR(10),종목코드
open,"DECIMAL(21,2)",시가
high,"DECIMAL(21,2)",고가
low,"DECIMAL(21,2)",저가
close,"DECIMAL(21,2)",종가
volume,BIGINT,거래량
updated_at,TIMESTAMP,
,,
테이블명,us_indicators,
컬럼명,데이터 타입,
symbol,VARCHAR(10),
stock_name,VARCHAR(200),
date,DATE,
rsi,"DECIMAL(20,4)",
macd,"DECIMAL(20,4)",
macd_signal,"DECIMAL(20,4)",
macd_hist,"DECIMAL(20,4)",
real_upper_band,"DECIMAL(20,4)",
real_middle_band,"DECIMAL(20,4)",
real_lower_band,"DECIMAL(20,4)",
vwap,"DECIMAL(20,4)",
eod_vwap,"DECIMAL(20,4)",
avg_vwap,"DECIMAL(20,4)",
price_vs_vwap,"DECIMAL(20,4)",
atr,"DECIMAL(20,4)",
slowk,"DECIMAL(20,4)",
slowd,"DECIMAL(20,4)",
mfi,"DECIMAL(20,4)",
roc,"DECIMAL(20,4)",
sma,"DECIMAL(20,4)",
ema,"DECIMAL(20,4)",
adx,"DECIMAL(20,4)",
wma,"DECIMAL(20,4)",
aroon,"DECIMAL(20,4)",
cci,"DECIMAL(20,4)",
obv,"DECIMAL(20,4)",
created_at,TIMESTAMP,
,,
테이블명,us_option,
컬럼명,데이터 타입,
contract_id,VARCHAR(30),
symbol,VARCHAR(10),
expiration,DATE,
strike,"NUMERIC(10, 2)",
type,VARCHAR(10),
last,"NUMERIC(10, 2)",
mark,"NUMERIC(10, 2)",
bid,"NUMERIC(10, 2)",
bid_size,INTEGER,
ask,"NUMERIC(10, 2)",
ask_size,INTEGER,
volume,INTEGER,
open_interest,INTEGER,
date,DATE,
implied_volatility,"NUMERIC(10, 5)",
delta,"NUMERIC(10, 5)",
